2025-05-25 20:58:02,846 |    ERROR | mcp_agent | error:122 | Failed to capture screenshot: XGetImage() failed
2025-05-25 20:58:02,846 |    ERROR | mcp_agent | error:122 | Screenshot capture failed
2025-05-25 20:58:02,846 |  WARNING | mcp_agent | warning:114 | Failed to get screen context, retrying...
2025-05-25 20:58:04,847 |    ERROR | mcp_agent | error:122 | Failed to capture screenshot: XGetImage() failed
2025-05-25 20:58:04,847 |    ERROR | mcp_agent | error:122 | Screenshot capture failed
2025-05-25 20:58:04,847 |  WARNING | mcp_agent | warning:114 | Failed to get screen context, retrying...
2025-05-25 20:58:06,851 |    ERROR | mcp_agent | error:122 | Failed to capture screenshot: XGetImage() failed
2025-05-25 20:58:06,852 |    ERROR | mcp_agent | error:122 | Screenshot capture failed
2025-05-25 20:58:06,852 |  WARNING | mcp_agent | warning:114 | Failed to get screen context, retrying...
2025-05-25 20:58:08,852 |    ERROR | mcp_agent | error:122 | Failed to capture screenshot: XGetImage() failed
2025-05-25 20:58:08,852 |    ERROR | mcp_agent | error:122 | Screenshot capture failed
2025-05-25 20:58:08,852 |  WARNING | mcp_agent | warning:114 | Failed to get screen context, retrying...
2025-05-25 20:58:10,853 |    ERROR | mcp_agent | error:122 | Failed to capture screenshot: XGetImage() failed
2025-05-25 20:58:10,854 |    ERROR | mcp_agent | error:122 | Screenshot capture failed
2025-05-25 20:58:10,854 |  WARNING | mcp_agent | warning:114 | Failed to get screen context, retrying...
2025-05-25 20:58:12,855 |    ERROR | mcp_agent | error:122 | Failed to capture screenshot: XGetImage() failed
2025-05-25 20:58:12,855 |    ERROR | mcp_agent | error:122 | Screenshot capture failed
2025-05-25 20:58:12,855 |  WARNING | mcp_agent | warning:114 | Failed to get screen context, retrying...
2025-05-25 20:58:14,856 |    ERROR | mcp_agent | error:122 | Failed to capture screenshot: XGetImage() failed
2025-05-25 20:58:14,856 |    ERROR | mcp_agent | error:122 | Screenshot capture failed
2025-05-25 20:58:14,856 |  WARNING | mcp_agent | warning:114 | Failed to get screen context, retrying...
2025-05-25 20:58:16,856 |    ERROR | mcp_agent | error:122 | Failed to capture screenshot: XGetImage() failed
2025-05-25 20:58:16,856 |    ERROR | mcp_agent | error:122 | Screenshot capture failed
2025-05-25 20:58:16,856 |  WARNING | mcp_agent | warning:114 | Failed to get screen context, retrying...
2025-05-25 20:58:18,857 |    ERROR | mcp_agent | error:122 | Failed to capture screenshot: XGetImage() failed
2025-05-25 20:58:18,857 |    ERROR | mcp_agent | error:122 | Screenshot capture failed
2025-05-25 20:58:18,857 |  WARNING | mcp_agent | warning:114 | Failed to get screen context, retrying...
2025-05-25 20:58:20,858 |    ERROR | mcp_agent | error:122 | Failed to capture screenshot: XGetImage() failed
2025-05-25 20:58:20,858 |    ERROR | mcp_agent | error:122 | Screenshot capture failed
2025-05-25 20:58:20,859 |  WARNING | mcp_agent | warning:114 | Failed to get screen context, retrying...
2025-05-25 20:58:22,859 |    ERROR | mcp_agent | error:122 | Failed to capture screenshot: XGetImage() failed
2025-05-25 20:58:22,859 |    ERROR | mcp_agent | error:122 | Screenshot capture failed
2025-05-25 20:58:22,859 |  WARNING | mcp_agent | warning:114 | Failed to get screen context, retrying...
2025-05-25 20:58:24,860 |    ERROR | mcp_agent | error:122 | Failed to capture screenshot: XGetImage() failed
2025-05-25 20:58:24,861 |    ERROR | mcp_agent | error:122 | Screenshot capture failed
2025-05-25 20:58:24,861 |  WARNING | mcp_agent | warning:114 | Failed to get screen context, retrying...
